z_A,LiA_molCOM,PF6_molCOM,EC_Oc(O00),DMC_Oc(O01)
80.586967,0.0000000000e+00,0.0000000000e+00,2.1869906152e-07,5.3872059006e-07
81.714058,0.0000000000e+00,0.0000000000e+00,3.6406844709e-07,8.3798201174e-07
82.841148,0.0000000000e+00,0.0000000000e+00,1.9607153098e-07,1.0582774859e-06
83.968239,0.0000000000e+00,0.0000000000e+00,2.5861636477e-07,5.1610918911e-07
85.095329,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,7.1046183147e-07
86.222420,0.0000000000e+00,0.0000000000e+00,9.7741002359e-07,1.5873129332e-06
87.349510,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,9.8490720499e-07
88.476601,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,6.5385520952e-07
89.603691,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,6.6190136545e-07
90.730782,0.0000000000e+00,0.0000000000e+00,1.4518835713e-06,4.7561934446e-07
91.857872,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.6375351907e-06
92.984962,0.0000000000e+00,0.0000000000e+00,2.0356310264e-06,2.8349295590e-06
94.112053,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.6787827185e-06
95.239143,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.9903297124e-06
96.366234,0.0000000000e+00,0.0000000000e+00,2.9091672420e-07,1.7477818526e-06
97.493324,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.2589071838e-06
98.620415,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.5630065530e-06
99.747505,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.2577391791e-06
100.874596,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.6185856781e-06
102.001686,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.4911102058e-06
103.128777,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.9879598754e-06
104.255867,0.0000000000e+00,0.0000000000e+00,1.0754954064e-06,3.4102686872e-06
105.382957,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.7862057563e-06
106.510048,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.9952075578e-06
107.637138,0.0000000000e+00,0.0000000000e+00,1.4518835713e-06,4.1189636542e-06
108.764229,0.0000000000e+00,0.0000000000e+00,2.3343202442e-06,3.2757091934e-06
109.891319,0.0000000000e+00,1.4518835713e-06,1.4518835713e-06,9.5462759196e-06
111.018410,0.0000000000e+00,0.0000000000e+00,2.3343202442e-06,2.9328193939e-06
112.145500,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.1521434815e-05
113.272591,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,7.0014043758e-06
114.399681,0.0000000000e+00,0.0000000000e+00,3.6392627304e-06,6.1022442571e-06
115.526772,0.0000000000e+00,2.5273789776e-06,7.3549558788e-07,4.3066710298e-06
116.653862,1.4518835713e-06,1.4518835713e-06,3.7862038155e-06,6.6524301722e-06
117.780952,0.0000000000e+00,0.0000000000e+00,3.7862038155e-06,5.0762929602e-06
118.908043,2.5273789776e-06,1.9579320793e-06,4.5920548408e-06,8.0737744667e-06
120.035133,0.0000000000e+00,8.8243667294e-07,2.5273789776e-06,5.6884468820e-06
121.162224,0.0000000000e+00,2.5273789776e-06,6.5066415266e-06,9.6116212511e-06
122.289314,1.4518835713e-06,0.0000000000e+00,2.8174521929e-06,9.6765604581e-06
123.416405,1.0754954064e-06,7.3549558788e-07,6.1149350987e-06,1.3123376897e-05
124.543495,8.8243667294e-07,1.4518835713e-06,1.6399560327e-06,9.8529274187e-06
125.670586,7.3549558788e-07,1.3655686217e-06,6.0363738487e-06,1.7241075975e-05
126.797676,0.0000000000e+00,0.0000000000e+00,4.1761411084e-06,1.6035688537e-05
127.924767,1.4518835713e-06,4.1453112385e-06,4.7903784383e-06,1.2026966472e-05
129.051857,2.3343202442e-06,3.7115806468e-06,4.2735601651e-06,1.8116149493e-05
130.178947,0.0000000000e+00,2.0060122066e-06,1.0904696604e-05,1.2602598941e-05
131.306038,5.5225716410e-06,2.3111704224e-06,1.0693463695e-05,2.0318414885e-05
132.433128,1.0754954064e-06,5.1360866329e-06,8.3744121010e-06,1.4944561313e-05
133.560219,0.0000000000e+00,2.4371102006e-06,1.5478427204e-05,2.1544310835e-05
134.687309,1.6823277839e-06,2.9202655799e-06,9.7208078964e-06,2.1351805707e-05
135.814400,3.9522525050e-06,2.0121397951e-06,8.5683287288e-06,3.0960120524e-05
136.941490,4.9846469762e-06,3.2056689315e-06,1.2972906884e-05,2.7853613239e-05
138.068581,6.1831401454e-06,2.6081016584e-06,1.3737086718e-05,2.3961103024e-05
139.195671,5.2663257907e-06,7.4013550586e-06,1.3530888767e-05,2.4363298226e-05
140.322762,5.1623910847e-06,6.3016406002e-06,1.7974840843e-05,2.8327236172e-05
141.449852,3.8465389532e-06,7.4285980874e-06,1.8947871598e-05,2.6625446208e-05
142.576942,4.5715118016e-06,5.9947234454e-06,1.6202674217e-05,1.5833430717e-05
