z_angstrom,LiA_number_density_per_nm3,PF6_number_density_per_nm3,ECA_number_density_per_nm3,DMC_number_density_per_nm3
12.972853,1.3824163800e+00,7.8995221716e-01,2.7648327601e+00,5.5296655201e+00
13.140245,1.1849283257e+00,9.8744027145e-01,2.1723685972e+00,5.1346894116e+00
13.307636,7.8995221716e-01,0.0000000000e+00,2.7648327601e+00,2.7648327601e+00
13.475028,1.3824163800e+00,5.9246416287e-01,2.1723685972e+00,4.1472491401e+00
13.642419,7.8995221716e-01,9.8744027145e-01,1.9748805429e+00,5.3321774658e+00
13.809811,9.8744027145e-01,5.9246416287e-01,2.7648327601e+00,4.3447371944e+00
13.977203,1.1849283257e+00,1.3824163800e+00,1.7773924886e+00,3.9497610858e+00
14.144594,5.9246416287e-01,7.8995221716e-01,2.1723685972e+00,5.3321774658e+00
14.311986,7.8995221716e-01,5.9246416287e-01,1.9748805429e+00,4.9372013573e+00
14.479378,1.1849283257e+00,3.9497610858e-01,1.5799044343e+00,3.5547849772e+00
14.646769,9.8744027145e-01,7.8995221716e-01,1.5799044343e+00,4.3447371944e+00
14.814161,7.8995221716e-01,1.3824163800e+00,1.5799044343e+00,4.3447371944e+00
14.981553,5.9246416287e-01,5.9246416287e-01,2.1723685972e+00,5.3321774658e+00
15.148944,5.9246416287e-01,1.9748805429e+00,2.5673447058e+00,5.5296655201e+00
15.316336,1.3824163800e+00,9.8744027145e-01,1.3824163800e+00,4.5422252487e+00
15.483728,1.1849283257e+00,3.9497610858e-01,2.9623208144e+00,4.7397133030e+00
15.651119,9.8744027145e-01,1.1849283257e+00,2.1723685972e+00,5.7271535744e+00
15.818511,9.8744027145e-01,7.8995221716e-01,3.3572969229e+00,3.7522730315e+00
15.985903,5.9246416287e-01,3.9497610858e-01,1.7773924886e+00,5.3321774658e+00
16.153294,1.9748805429e-01,3.9497610858e-01,1.7773924886e+00,7.3070580087e+00
16.320686,5.9246416287e-01,9.8744027145e-01,2.3698566515e+00,4.7397133030e+00
